Wall time,Step,Value
1763180495.9024413,53161,-27.495010375976562
1763180500.3595686,53191,-23.81264305114746
1763180504.1198108,53214,-21.907543182373047
1763180539.8767405,53454,-22.646684646606445
1763180545.0270922,53491,-32.3494758605957
1763180546.9147682,53503,-29.826374053955078
1763180548.717629,53514,-28.40587043762207
1763180574.7532554,53690,-27.42081642150879
1763180598.0408492,53845,-41.98369216918945
1763180615.0470722,53957,-23.059673309326172
1763180653.066498,54216,-28.570585250854492
1763180668.3242698,54317,-29.9438419342041
1763180670.3298755,54330,-29.169191360473633
1763180677.939587,54384,-37.77058792114258
1763180713.332812,54615,-26.519514083862305
1763180722.5075018,54677,-24.61886215209961
1763180732.5721483,54743,-15.57468032836914
1763180736.1025746,54764,-15.336987495422363
1763180740.9238803,54797,-22.155738830566406
1763180744.9984353,54824,-26.87683868408203
1763180749.9044929,54858,-32.79110336303711
1763180759.2225316,54923,-31.75382423400879
1763180761.4965854,54938,-30.272722244262695
1763180785.910616,55102,-26.621360778808594
1763180792.721193,55146,-25.857086181640625
1763180810.5549192,55265,-32.95863723754883
1763180817.2517374,55310,-35.1307487487793
1763180819.7438922,55327,-35.184410095214844
1763180837.2508113,55442,-36.34080123901367
1763180870.3773437,55658,-33.534629821777344
1763180874.6907399,55688,-36.31707763671875
1763180879.8158226,55725,-45.71601867675781
1763180884.7318347,55759,-44.66672897338867
1763180908.2174847,55915,-28.976470947265625
1763180917.276815,55975,-29.621891021728516
1763180946.3794055,56165,-31.261192321777344
1763180998.3020606,56519,-29.720245361328125
1763181029.8406901,56729,-26.539093017578125
1763181031.9711885,56743,-27.7397403717041
1763181046.4294624,56844,-37.44700622558594
1763181048.7213721,56860,-37.411041259765625
1763181053.178649,56891,-38.19329833984375
1763181059.1419697,56929,-28.551755905151367
1763181068.986688,56991,-24.199569702148438
1763181078.9627419,57062,-35.70676803588867
1763181083.7165995,57094,-41.20948791503906
1763181121.0358133,57344,-34.62381362915039
1763181143.9025204,57492,-17.26753044128418
1763181159.9749632,57601,-31.059101104736328
1763181161.9838116,57613,-25.713306427001953
1763181176.3942127,57711,-23.16266632080078
1763181183.483008,57759,-24.869409561157227
1763181236.9582953,58122,-26.96274185180664
1763181243.4285398,58165,-24.47757911682129
1763181258.7520127,58268,-27.65085220336914
1763181265.445744,58313,-27.150493621826172
1763181267.3190413,58325,-26.838621139526367
1763181272.2226138,58359,-29.336551666259766
1763181274.6632032,58376,-28.561914443969727
1763181290.4230673,58480,-28.539642333984375
1763181317.696058,58660,-29.65624237060547
1763181327.5350275,58721,-17.764049530029297
1763181346.3272228,58844,-28.272504806518555
1763181350.5112748,58871,-24.5845947265625
1763181355.276931,58905,-33.79340362548828
1763181371.1902304,59013,-38.794944763183594
1763181398.108886,59186,-20.314804077148438
1763181402.1394312,59212,-22.958829879760742
1763181414.5617836,59291,-21.968252182006836
1763181431.2155757,59399,-31.8896541595459
1763181444.7139008,59489,-34.18397521972656
1763181446.9972837,59505,-38.889278411865234
1763181458.545501,59582,-32.8787956237793
1763181469.2976515,59652,-17.521482467651367
1763181484.8361418,59755,-25.984634399414062
1763181502.133211,59868,-26.838729858398438
1763181510.6269555,59923,-21.072790145874023
1763181518.7579956,59975,-22.579891204833984
1763181548.5634,60181,-34.09763717651367
1763181552.5711045,60207,-25.887306213378906
1763181557.2021863,60237,-27.3321475982666
1763181563.7062082,60281,-23.40170669555664
1763181575.2314157,60361,-27.19951057434082
1763181611.9075272,60596,-24.452852249145508
1763181623.0949888,60671,-25.47803497314453
1763181661.9870615,60929,-17.908363342285156
1763181670.4318376,60986,-22.33802604675293
1763181676.8460262,61029,-25.95908546447754
1763181687.3380427,61098,-26.64012908935547
1763181703.225318,61203,-35.746273040771484
1763181711.7375174,61260,-27.688051223754883
1763181715.685246,61285,-24.436874389648438
1763181728.2555807,61368,-37.32659912109375
1763181730.611293,61384,-38.344844818115234
1763181744.2228816,61477,-34.4136962890625
1763181759.5956376,61582,-22.653335571289062
1763181773.4453058,61675,-31.7869815826416
1763181780.2256477,61721,-40.43764114379883
1763181793.4255686,61806,-28.821453094482422
1763181818.5162818,61973,-25.05384063720703
1763181822.595332,62000,-23.463611602783203
1763181845.4143867,62153,-24.305212020874023
1763181851.6904418,62194,-22.32544708251953
1763181856.3140864,62225,-30.249570846557617
1763181866.7081296,62293,-24.7868709564209
1763181901.8962493,62530,-31.498863220214844
1763181906.4123712,62561,-27.01041030883789
1763181919.5212364,62648,-26.39702033996582
1763181929.2500997,62713,-35.130218505859375
1763181933.9391294,62745,-42.18901443481445
1763181964.2615469,62945,-30.951292037963867
1763181991.2238631,63125,-32.54830551147461
1763182002.3038843,63200,-25.304515838623047
1763182028.8733876,63377,-23.129364013671875
1763182030.98155,63391,-24.210102081298828
1763182043.693242,63474,-23.051395416259766
1763182045.9333146,63489,-21.691463470458984
1763182077.092331,63699,-35.9078369140625
1763182086.0228827,63759,-39.96636962890625
1763182090.440564,63789,-31.49590492248535
1763182094.889147,63820,-29.55998420715332
1763182101.5243545,63864,-27.202880859375
1763182107.6457543,63903,-22.008773803710938
1763182144.355708,64143,-25.067955017089844
1763182169.648676,64312,-26.129308700561523
1763182171.9132495,64327,-27.110565185546875
1763182185.4242327,64418,-33.2887077331543
1763182200.8586383,64522,-23.126930236816406
1763182252.2030153,64860,-21.31065559387207
1763182265.7738893,64954,-30.5200138092041
1763182269.6029308,64978,-26.99680519104004
1763182315.1394932,65277,-28.59537124633789
1763182322.0682204,65322,-22.58414077758789
1763182331.5708334,65387,-30.79892349243164
1763182333.9557943,65404,-34.03910446166992
1763182335.879182,65416,-31.462970733642578
1763182348.231099,65496,-23.76753807067871
1763182354.4208524,65536,-25.484886169433594
1763182359.1851206,65568,-32.03749465942383
1763182381.8009949,65725,-34.375125885009766
1763182396.2770998,65818,-25.885847091674805
1763182407.0316613,65892,-28.683731079101562
1763182424.7820585,66010,-21.057523727416992
